rating,date,variation,verified_reviews,feedback,lower_text,remove_punc,remove_emoji,tokenized_string,remove_stopword
2,29-Jul-18,Sandstone Fabric,"I am not super impressed with Alexa. When my Prime lapsed, she wouldn't play anything. She isn't smart enough to differentiate among spotify accounts so we can't use it for that either. She randomly speaks up when nobody is talking to her. Just today I unplugged her...not sure I'll ever use my Alexa again.",0,"i am not super impressed with alexa. when my prime lapsed, she wouldn't play anything. she isn't smart enough to differentiate among spotify accounts so we can't use it for that either. she randomly speaks up when nobody is talking to her. just today i unplugged her...not sure i'll ever use my alexa again.",i am not super impressed with alexa when my prime lapsed she wouldnt play anything she isnt smart enough to differentiate among spotify accounts so we cant use it for that either she randomly speaks up when nobody is talking to her just today i unplugged hernot sure ill ever use my alexa again,i am not super impressed with alexa when my prime lapsed she wouldnt play anything she isnt smart enough to differentiate among spotify accounts so we cant use it for that either she randomly speaks up when nobody is talking to her just today i unplugged hernot sure ill ever use my alexa again,"['i', 'am', 'not', 'super', 'impressed', 'with', 'alexa', 'when', 'my', 'prime', 'lapsed', 'she', 'wouldnt', 'play', 'anything', 'she', 'isnt', 'smart', 'enough', 'to', 'differentiate', 'among', 'spotify', 'accounts', 'so', 'we', 'cant', 'use', 'it', 'for', 'that', 'either', 'she', 'randomly', 'speaks', 'up', 'when', 'nobody', 'is', 'talking', 'to', 'her', 'just', 'today', 'i', 'unplugged', 'hernot', 'sure', 'ill', 'ever', 'use', 'my', 'alexa', 'again']",super impressed alexa prime lapsed wouldnt play anything isnt smart enough differentiate among spotify accounts cant use either randomly speaks nobody talking today unplugged hernot sure ill ever use alexa
5,29-Jul-18,Charcoal Fabric,I like everything about it !!!,1,i like everything about it !!!,i like everything about it ,i like everything about it ,"['i', 'like', 'everything', 'about', 'it', '']",like everything
5,29-Jul-18,Heather Gray Fabric,Liked 100%,1,liked 100%,liked 100,liked 100,"['liked', '100']",liked 100
5,29-Jul-18,Charcoal Fabric,Never had ANY issue with buying use electronics as long as I get the GOOD or LIKE NEW. Just read the comment to see why it is used.,1,never had any issue with buying use electronics as long as i get the good or like new. just read the comment to see why it is used.,never had any issue with buying use electronics as long as i get the good or like new just read the comment to see why it is used,never had any issue with buying use electronics as long as i get the good or like new just read the comment to see why it is used,"['never', 'had', 'any', 'issue', 'with', 'buying', 'use', 'electronics', 'as', 'long', 'as', 'i', 'get', 'the', 'good', 'or', 'like', 'new', 'just', 'read', 'the', 'comment', 'to', 'see', 'why', 'it', 'is', 'used']",never issue buying use electronics long get good like new read comment see used
5,29-Jul-18,Charcoal Fabric,Our family really loves this new Echo,1,our family really loves this new echo,our family really loves this new echo,our family really loves this new echo,"['our', 'family', 'really', 'loves', 'this', 'new', 'echo']",family really loves new echo
5,29-Jul-18,Heather Gray Fabric,bought for my wife she loves it,1,bought for my wife she loves it,bought for my wife she loves it,bought for my wife she loves it,"['bought', 'for', 'my', 'wife', 'she', 'loves', 'it']",bought wife loves
5,29-Jul-18,Charcoal Fabric,Fun just got it today now my I pod will go in my car and I will use this is the house.,1,fun just got it today now my i pod will go in my car and i will use this is the house.,fun just got it today now my i pod will go in my car and i will use this is the house,fun just got it today now my i pod will go in my car and i will use this is the house,"['fun', 'just', 'got', 'it', 'today', 'now', 'my', 'i', 'pod', 'will', 'go', 'in', 'my', 'car', 'and', 'i', 'will', 'use', 'this', 'is', 'the', 'house']",fun got today pod go car use house
4,29-Jul-18,Sandstone Fabric,Like it to do more,1,like it to do more,like it to do more,like it to do more,"['like', 'it', 'to', 'do', 'more']",like
5,29-Jul-18,Sandstone Fabric,"This is our third echo. Worth every penny. It's like having 3 household employees for a small flat rate. We keep them in the bedrooms and the living room. We can drop-in and use them as an intercom, listen to music, answer quick questions, alarms to wake up for school, etc.",1,"this is our third echo. worth every penny. it's like having 3 household employees for a small flat rate. we keep them in the bedrooms and the living room. we can drop-in and use them as an intercom, listen to music, answer quick questions, alarms to wake up for school, etc.",this is our third echo worth every penny its like having 3 household employees for a small flat rate we keep them in the bedrooms and the living room we can dropin and use them as an intercom listen to music answer quick questions alarms to wake up for school etc,this is our third echo worth every penny its like having 3 household employees for a small flat rate we keep them in the bedrooms and the living room we can dropin and use them as an intercom listen to music answer quick questions alarms to wake up for school etc,"['this', 'is', 'our', 'third', 'echo', 'worth', 'every', 'penny', 'its', 'like', 'having', '3', 'household', 'employees', 'for', 'a', 'small', 'flat', 'rate', 'we', 'keep', 'them', 'in', 'the', 'bedrooms', 'and', 'the', 'living', 'room', 'we', 'can', 'dropin', 'and', 'use', 'them', 'as', 'an', 'intercom', 'listen', 'to', 'music', 'answer', 'quick', 'questions', 'alarms', 'to', 'wake', 'up', 'for', 'school', 'etc']",third echo worth every penny like 3 household employees small flat rate keep bedrooms living room dropin use intercom listen music answer quick questions alarms wake school etc
5,29-Jul-18,Charcoal Fabric,Listen music and set timer,1,listen music and set timer,listen music and set timer,listen music and set timer,"['listen', 'music', 'and', 'set', 'timer']",listen music set timer
5,29-Jul-18,Sandstone Fabric,I received the echo in perfect condition. The device was easy to set up and responds quickly and without any issues. Alexa is a great addition to our family!,1,i received the echo in perfect condition. the device was easy to set up and responds quickly and without any issues. alexa is a great addition to our family!,i received the echo in perfect condition the device was easy to set up and responds quickly and without any issues alexa is a great addition to our family,i received the echo in perfect condition the device was easy to set up and responds quickly and without any issues alexa is a great addition to our family,"['i', 'received', 'the', 'echo', 'in', 'perfect', 'condition', 'the', 'device', 'was', 'easy', 'to', 'set', 'up', 'and', 'responds', 'quickly', 'and', 'without', 'any', 'issues', 'alexa', 'is', 'a', 'great', 'addition', 'to', 'our', 'family']",received echo perfect condition device easy set responds quickly without issues alexa great addition family
5,29-Jul-18,Charcoal Fabric,Good sound. Like it for music and scheduling. Like that i can get random thoughts recorded while I think about them. The jokes are cute!,1,good sound. like it for music and scheduling. like that i can get random thoughts recorded while i think about them. the jokes are cute!,good sound like it for music and scheduling like that i can get random thoughts recorded while i think about them the jokes are cute,good sound like it for music and scheduling like that i can get random thoughts recorded while i think about them the jokes are cute,"['good', 'sound', 'like', 'it', 'for', 'music', 'and', 'scheduling', 'like', 'that', 'i', 'can', 'get', 'random', 'thoughts', 'recorded', 'while', 'i', 'think', 'about', 'them', 'the', 'jokes', 'are', 'cute']",good sound like music scheduling like get random thoughts recorded think jokes cute
5,29-Jul-18,Charcoal Fabric,Purchased this for myself and am just beginning to learn all that it can do.  So far am very pleased and amazed at the different actions it can perform.  Am enjoying it and looking forward to learning more about other options it provides.,1,purchased this for myself and am just beginning to learn all that it can do.  so far am very pleased and amazed at the different actions it can perform.  am enjoying it and looking forward to learning more about other options it provides.,purchased this for myself and am just beginning to learn all that it can do  so far am very pleased and amazed at the different actions it can perform  am enjoying it and looking forward to learning more about other options it provides,purchased this for myself and am just beginning to learn all that it can do  so far am very pleased and amazed at the different actions it can perform  am enjoying it and looking forward to learning more about other options it provides,"['purchased', 'this', 'for', 'myself', 'and', 'am', 'just', 'beginning', 'to', 'learn', 'all', 'that', 'it', 'can', 'do', 'so', 'far', 'am', 'very', 'pleased', 'and', 'amazed', 'at', 'the', 'different', 'actions', 'it', 'can', 'perform', 'am', 'enjoying', 'it', 'and', 'looking', 'forward', 'to', 'learning', 'more', 'about', 'other', 'options', 'it', 'provides']",purchased beginning learn far pleased amazed different actions perform enjoying looking forward learning options provides
5,29-Jul-18,Sandstone Fabric,"This echo is just as great as my others, even though it is smaller.",1,"this echo is just as great as my others, even though it is smaller.",this echo is just as great as my others even though it is smaller,this echo is just as great as my others even though it is smaller,"['this', 'echo', 'is', 'just', 'as', 'great', 'as', 'my', 'others', 'even', 'though', 'it', 'is', 'smaller']",echo great others even though smaller
5,29-Jul-18,Charcoal Fabric,Funny how you buy something just because it looks fun and it winds up being a totally useful part of your home!!!  Loving it!!,1,funny how you buy something just because it looks fun and it winds up being a totally useful part of your home!!!  loving it!!,funny how you buy something just because it looks fun and it winds up being a totally useful part of your home  loving it,funny how you buy something just because it looks fun and it winds up being a totally useful part of your home  loving it,"['funny', 'how', 'you', 'buy', 'something', 'just', 'because', 'it', 'looks', 'fun', 'and', 'it', 'winds', 'up', 'being', 'a', 'totally', 'useful', 'part', 'of', 'your', 'home', 'loving', 'it']",funny buy something looks fun winds totally useful part home loving
3,29-Jul-18,Charcoal Fabric,"I bought this to replace a &#34;Dot&#34; in my living room. Speaker is slightly better. It hears me better over the TV. Unfortunately, it doesn't understand or respond to my requests as well as the Dot. I frequently have to request 2 or 3 times to get it to do what I want. The Dot usually does exactly what I want on the first request. I don't consider it an upgrade.",1,"i bought this to replace a &#34;dot&#34; in my living room. speaker is slightly better. it hears me better over the tv. unfortunately, it doesn't understand or respond to my requests as well as the dot. i frequently have to request 2 or 3 times to get it to do what i want. the dot usually does exactly what i want on the first request. i don't consider it an upgrade.",i bought this to replace a 34dot34 in my living room speaker is slightly better it hears me better over the tv unfortunately it doesnt understand or respond to my requests as well as the dot i frequently have to request 2 or 3 times to get it to do what i want the dot usually does exactly what i want on the first request i dont consider it an upgrade,i bought this to replace a 34dot34 in my living room speaker is slightly better it hears me better over the tv unfortunately it doesnt understand or respond to my requests as well as the dot i frequently have to request 2 or 3 times to get it to do what i want the dot usually does exactly what i want on the first request i dont consider it an upgrade,"['i', 'bought', 'this', 'to', 'replace', 'a', '34dot34', 'in', 'my', 'living', 'room', 'speaker', 'is', 'slightly', 'better', 'it', 'hears', 'me', 'better', 'over', 'the', 'tv', 'unfortunately', 'it', 'doesnt', 'understand', 'or', 'respond', 'to', 'my', 'requests', 'as', 'well', 'as', 'the', 'dot', 'i', 'frequently', 'have', 'to', 'request', '2', 'or', '3', 'times', 'to', 'get', 'it', 'to', 'do', 'what', 'i', 'want', 'the', 'dot', 'usually', 'does', 'exactly', 'what', 'i', 'want', 'on', 'the', 'first', 'request', 'i', 'dont', 'consider', 'it', 'an', 'upgrade']",bought replace 34dot34 living room speaker slightly better hears better tv unfortunately doesnt understand respond requests well dot frequently request 2 3 times get want dot usually exactly want first request dont consider upgrade
5,29-Jul-18,Charcoal Fabric,"I have had all good experience, so far with the second generation Echo. There are so many more things to learn, but I have not had the time yet. Right now, I am mostly enjoying the music, weather updates, using the alarm feature, and her personality. I have also purchased some mini smart socket yes. I am very excited to begin using them",1,"i have had all good experience, so far with the second generation echo. there are so many more things to learn, but i have not had the time yet. right now, i am mostly enjoying the music, weather updates, using the alarm feature, and her personality. i have also purchased some mini smart socket yes. i am very excited to begin using them",i have had all good experience so far with the second generation echo there are so many more things to learn but i have not had the time yet right now i am mostly enjoying the music weather updates using the alarm feature and her personality i have also purchased some mini smart socket yes i am very excited to begin using them,i have had all good experience so far with the second generation echo there are so many more things to learn but i have not had the time yet right now i am mostly enjoying the music weather updates using the alarm feature and her personality i have also purchased some mini smart socket yes i am very excited to begin using them,"['i', 'have', 'had', 'all', 'good', 'experience', 'so', 'far', 'with', 'the', 'second', 'generation', 'echo', 'there', 'are', 'so', 'many', 'more', 'things', 'to', 'learn', 'but', 'i', 'have', 'not', 'had', 'the', 'time', 'yet', 'right', 'now', 'i', 'am', 'mostly', 'enjoying', 'the', 'music', 'weather', 'updates', 'using', 'the', 'alarm', 'feature', 'and', 'her', 'personality', 'i', 'have', 'also', 'purchased', 'some', 'mini', 'smart', 'socket', 'yes', 'i', 'am', 'very', 'excited', 'to', 'begin', 'using', 'them']",good experience far second generation echo many things learn time yet right mostly enjoying music weather updates using alarm feature personality also purchased mini smart socket yes excited begin using
5,29-Jul-18,Charcoal Fabric,"I’m having trouble connecting my tv to it, but I’m not exactly tech smart. I’m sure one of my grandsons will figure it out for me. So far I’ve been using it mostly for music.",1,"i’m having trouble connecting my tv to it, but i’m not exactly tech smart. i’m sure one of my grandsons will figure it out for me. so far i’ve been using it mostly for music.",i’m having trouble connecting my tv to it but i’m not exactly tech smart i’m sure one of my grandsons will figure it out for me so far i’ve been using it mostly for music,i’m having trouble connecting my tv to it but i’m not exactly tech smart i’m sure one of my grandsons will figure it out for me so far i’ve been using it mostly for music,"['i', 'm', 'having', 'trouble', 'connecting', 'my', 'tv', 'to', 'it', 'but', 'i', 'm', 'not', 'exactly', 'tech', 'smart', 'i', 'm', 'sure', 'one', 'of', 'my', 'grandsons', 'will', 'figure', 'it', 'out', 'for', 'me', 'so', 'far', 'i', 've', 'been', 'using', 'it', 'mostly', 'for', 'music']",i’m trouble connecting tv i’m exactly tech smart i’m sure one grandsons figure far i’ve using mostly music
5,29-Jul-18,Charcoal Fabric,Simply love my Echo. I hardly watch any TV at all anymore. I'm too busy listening to music. Speaker is pretty goo for its size. All the fun skills really make the echo fun for my whole family.,1,simply love my echo. i hardly watch any tv at all anymore. i'm too busy listening to music. speaker is pretty goo for its size. all the fun skills really make the echo fun for my whole family.,simply love my echo i hardly watch any tv at all anymore im too busy listening to music speaker is pretty goo for its size all the fun skills really make the echo fun for my whole family,simply love my echo i hardly watch any tv at all anymore im too busy listening to music speaker is pretty goo for its size all the fun skills really make the echo fun for my whole family,"['simply', 'love', 'my', 'echo', 'i', 'hardly', 'watch', 'any', 'tv', 'at', 'all', 'anymore', 'im', 'too', 'busy', 'listening', 'to', 'music', 'speaker', 'is', 'pretty', 'goo', 'for', 'its', 'size', 'all', 'the', 'fun', 'skills', 'really', 'make', 'the', 'echo', 'fun', 'for', 'my', 'whole', 'family']",simply love echo hardly watch tv anymore im busy listening music speaker pretty goo size fun skills really make echo fun whole family
5,29-Jul-18,Charcoal Fabric,Enjoyed entire echo experience,1,enjoyed entire echo experience,enjoyed entire echo experience,enjoyed entire echo experience,"['enjoyed', 'entire', 'echo', 'experience']",enjoyed entire echo experience
4,29-Jul-18,Charcoal Fabric,Easy to set up.,1,easy to set up.,easy to set up,easy to set up,"['easy', 'to', 'set', 'up']",easy set
4,29-Jul-18,Charcoal Fabric,"The Echo is an amazing device.  Many times it seems very intuitive.  But at other times I ask for something that seems clear and simple and get no result.  Installation was fairly straightforward, but I messed up several times simply because I thought a step was complete when it wasn't.  This actually made me lose ground until I figured that out.  My advice is to be patient; the app will let you know when you can move on to the next step.My biggest issue of the moment is that we have several Echo devices in our home and I would like to use them as intercoms (which I am told can be done).  However, I can't make any of the Echos aware of the others existence.  When I ask Alexa how to do this she answers about instructions how to change her name.  I know this is likely my fault, but I would think the designers would anticipate this and make it easier to find the needed instructions.  A small deal for many device savvy people, but a challenge for me.",1,"the echo is an amazing device.  many times it seems very intuitive.  but at other times i ask for something that seems clear and simple and get no result.  installation was fairly straightforward, but i messed up several times simply because i thought a step was complete when it wasn't.  this actually made me lose ground until i figured that out.  my advice is to be patient; the app will let you know when you can move on to the next step.my biggest issue of the moment is that we have several echo devices in our home and i would like to use them as intercoms (which i am told can be done).  however, i can't make any of the echos aware of the others existence.  when i ask alexa how to do this she answers about instructions how to change her name.  i know this is likely my fault, but i would think the designers would anticipate this and make it easier to find the needed instructions.  a small deal for many device savvy people, but a challenge for me.",the echo is an amazing device  many times it seems very intuitive  but at other times i ask for something that seems clear and simple and get no result  installation was fairly straightforward but i messed up several times simply because i thought a step was complete when it wasnt  this actually made me lose ground until i figured that out  my advice is to be patient the app will let you know when you can move on to the next stepmy biggest issue of the moment is that we have several echo devices in our home and i would like to use them as intercoms which i am told can be done  however i cant make any of the echos aware of the others existence  when i ask alexa how to do this she answers about instructions how to change her name  i know this is likely my fault but i would think the designers would anticipate this and make it easier to find the needed instructions  a small deal for many device savvy people but a challenge for me,the echo is an amazing device  many times it seems very intuitive  but at other times i ask for something that seems clear and simple and get no result  installation was fairly straightforward but i messed up several times simply because i thought a step was complete when it wasnt  this actually made me lose ground until i figured that out  my advice is to be patient the app will let you know when you can move on to the next stepmy biggest issue of the moment is that we have several echo devices in our home and i would like to use them as intercoms which i am told can be done  however i cant make any of the echos aware of the others existence  when i ask alexa how to do this she answers about instructions how to change her name  i know this is likely my fault but i would think the designers would anticipate this and make it easier to find the needed instructions  a small deal for many device savvy people but a challenge for me,"['the', 'echo', 'is', 'an', 'amazing', 'device', 'many', 'times', 'it', 'seems', 'very', 'intuitive', 'but', 'at', 'other', 'times', 'i', 'ask', 'for', 'something', 'that', 'seems', 'clear', 'and', 'simple', 'and', 'get', 'no', 'result', 'installation', 'was', 'fairly', 'straightforward', 'but', 'i', 'messed', 'up', 'several', 'times', 'simply', 'because', 'i', 'thought', 'a', 'step', 'was', 'complete', 'when', 'it', 'wasnt', 'this', 'actually', 'made', 'me', 'lose', 'ground', 'until', 'i', 'figured', 'that', 'out', 'my', 'advice', 'is', 'to', 'be', 'patient', 'the', 'app', 'will', 'let', 'you', 'know', 'when', 'you', 'can', 'move', 'on', 'to', 'the', 'next', 'stepmy', 'biggest', 'issue', 'of', 'the', 'moment', 'is', 'that', 'we', 'have', 'several', 'echo', 'devices', 'in', 'our', 'home', 'and', 'i', 'would', 'like', 'to', 'use', 'them', 'as', 'intercoms', 'which', 'i', 'am', 'told', 'can', 'be', 'done', 'however', 'i', 'cant', 'make', 'any', 'of', 'the', 'echos', 'aware', 'of', 'the', 'others', 'existence', 'when', 'i', 'ask', 'alexa', 'how', 'to', 'do', 'this', 'she', 'answers', 'about', 'instructions', 'how', 'to', 'change', 'her', 'name', 'i', 'know', 'this', 'is', 'likely', 'my', 'fault', 'but', 'i', 'would', 'think', 'the', 'designers', 'would', 'anticipate', 'this', 'and', 'make', 'it', 'easier', 'to', 'find', 'the', 'needed', 'instructions', 'a', 'small', 'deal', 'for', 'many', 'device', 'savvy', 'people', 'but', 'a', 'challenge', 'for', 'me']",echo amazing device many times seems intuitive times ask something seems clear simple get result installation fairly straightforward messed several times simply thought step complete wasnt actually made lose ground figured advice patient app let know move next stepmy biggest issue moment several echo devices home would like use intercoms told done however cant make echos aware others existence ask alexa answers instructions change name know likely fault would think designers would anticipate make easier find needed instructions small deal many device savvy people challenge
5,29-Jul-18,Heather Gray Fabric,We are loving Ours very much,1,we are loving ours very much,we are loving ours very much,we are loving ours very much,"['we', 'are', 'loving', 'ours', 'very', 'much']",loving much
5,29-Jul-18,Heather Gray Fabric,"I have the original Alexa and the Tap and so far the 2nd generation is the best. I'm happy to see they are making improvements with each new one.It would be great to have updates to our little A.I.'s, I think it would help out a lot with the bugs in it. All in all I am very happy with her and I can now play music throughout the whole house and adjust the bass and treble. Thank you",1,"i have the original alexa and the tap and so far the 2nd generation is the best. i'm happy to see they are making improvements with each new one.it would be great to have updates to our little a.i.'s, i think it would help out a lot with the bugs in it. all in all i am very happy with her and i can now play music throughout the whole house and adjust the bass and treble. thank you",i have the original alexa and the tap and so far the 2nd generation is the best im happy to see they are making improvements with each new oneit would be great to have updates to our little ais i think it would help out a lot with the bugs in it all in all i am very happy with her and i can now play music throughout the whole house and adjust the bass and treble thank you,i have the original alexa and the tap and so far the 2nd generation is the best im happy to see they are making improvements with each new oneit would be great to have updates to our little ais i think it would help out a lot with the bugs in it all in all i am very happy with her and i can now play music throughout the whole house and adjust the bass and treble thank you,"['i', 'have', 'the', 'original', 'alexa', 'and', 'the', 'tap', 'and', 'so', 'far', 'the', '2nd', 'generation', 'is', 'the', 'best', 'im', 'happy', 'to', 'see', 'they', 'are', 'making', 'improvements', 'with', 'each', 'new', 'oneit', 'would', 'be', 'great', 'to', 'have', 'updates', 'to', 'our', 'little', 'ais', 'i', 'think', 'it', 'would', 'help', 'out', 'a', 'lot', 'with', 'the', 'bugs', 'in', 'it', 'all', 'in', 'all', 'i', 'am', 'very', 'happy', 'with', 'her', 'and', 'i', 'can', 'now', 'play', 'music', 'throughout', 'the', 'whole', 'house', 'and', 'adjust', 'the', 'bass', 'and', 'treble', 'thank', 'you']",original alexa tap far 2nd generation best im happy see making improvements new oneit would great updates little ais think would help lot bugs happy play music throughout whole house adjust bass treble thank
5,29-Jul-18,Charcoal Fabric,"Very pleased with the Echo 2nd Generation. It is so nice to have Alexa available for music, weather, news, and probably a lot more we haven’t discovered.",1,"very pleased with the echo 2nd generation. it is so nice to have alexa available for music, weather, news, and probably a lot more we haven’t discovered.",very pleased with the echo 2nd generation it is so nice to have alexa available for music weather news and probably a lot more we haven’t discovered,very pleased with the echo 2nd generation it is so nice to have alexa available for music weather news and probably a lot more we haven’t discovered,"['very', 'pleased', 'with', 'the', 'echo', '2nd', 'generation', 'it', 'is', 'so', 'nice', 'to', 'have', 'alexa', 'available', 'for', 'music', 'weather', 'news', 'and', 'probably', 'a', 'lot', 'more', 'we', 'haven', 't', 'discovered']",pleased echo 2nd generation nice alexa available music weather news probably lot haven’t discovered
4,29-Jul-18,Heather Gray Fabric,"I am pleasantly surprised by the sound quality of the Echo. If you are a big fan of deep bass, this might not be sufficient for you though. The potential to control your home is an option I will explore more as I evolve my home into a ""smart home"". The voice recognition is very impressive. It is stylish and fun. I have no regrets with this purchase. It is great for technically changes people. Ask it to play a song or a movie and it responds instantly. If you have an elderly loved one, this would be a great gift. Once connected to wifi, it is very simple to use.  If you want unlimited music control, be sure to have amazon prime or premium spotify and you will be blown away with your personal dj! You can even have conversations with the echo. I am not embarrassed to say, that echo has made me laugh a couple times when I ask it to tell me a joke. It tells me where my packages are since I am an amazon prime addict, it comes in extremely  handy!",1,"i am pleasantly surprised by the sound quality of the echo. if you are a big fan of deep bass, this might not be sufficient for you though. the potential to control your home is an option i will explore more as i evolve my home into a ""smart home"". the voice recognition is very impressive. it is stylish and fun. i have no regrets with this purchase. it is great for technically changes people. ask it to play a song or a movie and it responds instantly. if you have an elderly loved one, this would be a great gift. once connected to wifi, it is very simple to use.  if you want unlimited music control, be sure to have amazon prime or premium spotify and you will be blown away with your personal dj! you can even have conversations with the echo. i am not embarrassed to say, that echo has made me laugh a couple times when i ask it to tell me a joke. it tells me where my packages are since i am an amazon prime addict, it comes in extremely  handy!",i am pleasantly surprised by the sound quality of the echo if you are a big fan of deep bass this might not be sufficient for you though the potential to control your home is an option i will explore more as i evolve my home into a smart home the voice recognition is very impressive it is stylish and fun i have no regrets with this purchase it is great for technically changes people ask it to play a song or a movie and it responds instantly if you have an elderly loved one this would be a great gift once connected to wifi it is very simple to use  if you want unlimited music control be sure to have amazon prime or premium spotify and you will be blown away with your personal dj you can even have conversations with the echo i am not embarrassed to say that echo has made me laugh a couple times when i ask it to tell me a joke it tells me where my packages are since i am an amazon prime addict it comes in extremely  handy,i am pleasantly surprised by the sound quality of the echo if you are a big fan of deep bass this might not be sufficient for you though the potential to control your home is an option i will explore more as i evolve my home into a smart home the voice recognition is very impressive it is stylish and fun i have no regrets with this purchase it is great for technically changes people ask it to play a song or a movie and it responds instantly if you have an elderly loved one this would be a great gift once connected to wifi it is very simple to use  if you want unlimited music control be sure to have amazon prime or premium spotify and you will be blown away with your personal dj you can even have conversations with the echo i am not embarrassed to say that echo has made me laugh a couple times when i ask it to tell me a joke it tells me where my packages are since i am an amazon prime addict it comes in extremely  handy,"['i', 'am', 'pleasantly', 'surprised', 'by', 'the', 'sound', 'quality', 'of', 'the', 'echo', 'if', 'you', 'are', 'a', 'big', 'fan', 'of', 'deep', 'bass', 'this', 'might', 'not', 'be', 'sufficient', 'for', 'you', 'though', 'the', 'potential', 'to', 'control', 'your', 'home', 'is', 'an', 'option', 'i', 'will', 'explore', 'more', 'as', 'i', 'evolve', 'my', 'home', 'into', 'a', 'smart', 'home', 'the', 'voice', 'recognition', 'is', 'very', 'impressive', 'it', 'is', 'stylish', 'and', 'fun', 'i', 'have', 'no', 'regrets', 'with', 'this', 'purchase', 'it', 'is', 'great', 'for', 'technically', 'changes', 'people', 'ask', 'it', 'to', 'play', 'a', 'song', 'or', 'a', 'movie', 'and', 'it', 'responds', 'instantly', 'if', 'you', 'have', 'an', 'elderly', 'loved', 'one', 'this', 'would', 'be', 'a', 'great', 'gift', 'once', 'connected', 'to', 'wifi', 'it', 'is', 'very', 'simple', 'to', 'use', 'if', 'you', 'want', 'unlimited', 'music', 'control', 'be', 'sure', 'to', 'have', 'amazon', 'prime', 'or', 'premium', 'spotify', 'and', 'you', 'will', 'be', 'blown', 'away', 'with', 'your', 'personal', 'dj', 'you', 'can', 'even', 'have', 'conversations', 'with', 'the', 'echo', 'i', 'am', 'not', 'embarrassed', 'to', 'say', 'that', 'echo', 'has', 'made', 'me', 'laugh', 'a', 'couple', 'times', 'when', 'i', 'ask', 'it', 'to', 'tell', 'me', 'a', 'joke', 'it', 'tells', 'me', 'where', 'my', 'packages', 'are', 'since', 'i', 'am', 'an', 'amazon', 'prime', 'addict', 'it', 'comes', 'in', 'extremely', 'handy']",pleasantly surprised sound quality echo big fan deep bass might sufficient though potential control home option explore evolve home smart home voice recognition impressive stylish fun regrets purchase great technically changes people ask play song movie responds instantly elderly loved one would great gift connected wifi simple use want unlimited music control sure amazon prime premium spotify blown away personal dj even conversations echo embarrassed say echo made laugh couple times ask tell joke tells packages since amazon prime addict comes extremely handy
5,29-Jul-18,Heather Gray Fabric,Easy to setup. Love all the things she does.,1,easy to setup. love all the things she does.,easy to setup love all the things she does,easy to setup love all the things she does,"['easy', 'to', 'setup', 'love', 'all', 'the', 'things', 'she', 'does']",easy setup love things
5,29-Jul-18,Heather Gray Fabric,Have Alexa throughout the house----the future has arrived!,1,have alexa throughout the house----the future has arrived!,have alexa throughout the housethe future has arrived,have alexa throughout the housethe future has arrived,"['have', 'alexa', 'throughout', 'the', 'housethe', 'future', 'has', 'arrived']",alexa throughout housethe future arrived
5,29-Jul-18,Charcoal Fabric,"I already have an Alexa and with Amazon find today I could not resist getting an echo also. It is the best thing I ever did, I use them on each side of the house! And couldn't be happier!",1,"i already have an alexa and with amazon find today i could not resist getting an echo also. it is the best thing i ever did, i use them on each side of the house! and couldn't be happier!",i already have an alexa and with amazon find today i could not resist getting an echo also it is the best thing i ever did i use them on each side of the house and couldnt be happier,i already have an alexa and with amazon find today i could not resist getting an echo also it is the best thing i ever did i use them on each side of the house and couldnt be happier,"['i', 'already', 'have', 'an', 'alexa', 'and', 'with', 'amazon', 'find', 'today', 'i', 'could', 'not', 'resist', 'getting', 'an', 'echo', 'also', 'it', 'is', 'the', 'best', 'thing', 'i', 'ever', 'did', 'i', 'use', 'them', 'on', 'each', 'side', 'of', 'the', 'house', 'and', 'couldnt', 'be', 'happier']",already alexa amazon find today could resist getting echo also best thing ever use side house couldnt happier
5,29-Jul-18,Sandstone Fabric,Arrived as expected.,1,arrived as expected.,arrived as expected,arrived as expected,"['arrived', 'as', 'expected']",arrived expected
5,29-Jul-18,Charcoal Fabric,"Bought this a few weeks ago -  everything about this product is excellent !!!!! Don't forget to buy a charger when ordering, it's a must have to take outside by the pool and not have to worry about hiring an electrician to put in outlets all over the yard.",1,"bought this a few weeks ago -  everything about this product is excellent !!!!! don't forget to buy a charger when ordering, it's a must have to take outside by the pool and not have to worry about hiring an electrician to put in outlets all over the yard.",bought this a few weeks ago   everything about this product is excellent  dont forget to buy a charger when ordering its a must have to take outside by the pool and not have to worry about hiring an electrician to put in outlets all over the yard,bought this a few weeks ago   everything about this product is excellent  dont forget to buy a charger when ordering its a must have to take outside by the pool and not have to worry about hiring an electrician to put in outlets all over the yard,"['bought', 'this', 'a', 'few', 'weeks', 'ago', 'everything', 'about', 'this', 'product', 'is', 'excellent', 'dont', 'forget', 'to', 'buy', 'a', 'charger', 'when', 'ordering', 'its', 'a', 'must', 'have', 'to', 'take', 'outside', 'by', 'the', 'pool', 'and', 'not', 'have', 'to', 'worry', 'about', 'hiring', 'an', 'electrician', 'to', 'put', 'in', 'outlets', 'all', 'over', 'the', 'yard']",bought weeks ago everything product excellent dont forget buy charger ordering must take outside pool worry hiring electrician put outlets yard
4,29-Jul-18,Charcoal Fabric,Terrific,1,terrific,terrific,terrific,['terrific'],terrific
5,29-Jul-18,Oak Finish,Love my Echo,1,love my echo,love my echo,love my echo,"['love', 'my', 'echo']",love echo
